iter	Passed	Remaining
401	14282	7034
402	14311	6995
403	14347	6960
404	14382	6925
405	14414	6887
406	14446	6850
407	14476	6812
408	14504	6773
409	14533	6734
410	14566	6698
411	14601	6662
412	14626	6622
413	14655	6584
414	14682	6545
415	14714	6508
416	14749	6472
417	14783	6436
418	14820	6402
419	14854	6366
420	14881	6327
421	14916	6291
422	14943	6252
423	15003	6227
424	15030	6189
425	15065	6153
426	15094	6115
427	15133	6081
428	15168	6046
429	15207	6012
430	15245	5977
431	15283	5943
432	15314	5906
433	15345	5869
434	15379	5833
435	15408	5795
436	15439	5758
437	15478	5724
438	15514	5689
439	15556	5656
440	15586	5619
441	15674	5603
442	15705	5566
443	15738	5529
444	15776	5495
445	15802	5456
446	15833	5419
447	15859	5381
448	15893	5344
449	15925	5308
450	15959	5272
451	15994	5237
452	16022	5199
453	16052	5162
454	16088	5127
455	16125	5092
456	16150	5053
457	16181	5017
458	16206	4978
459	16241	4942
460	16276	4907
461	16304	4870
462	16339	4834
463	16366	4797
464	16397	4760
465	16430	4724
466	16458	4687
467	16487	4650
468	16515	4613
469	16545	4576
470	16592	4544
471	16644	4513
472	16684	4479
473	16822	4471
474	16870	4439
475	16919	4407
476	16957	4372
477	17004	4340
478	17044	4305
479	17075	4268
480	17117	4234
481	17148	4198
482	17179	4161
483	17209	4124
484	17251	4090
485	17301	4058
486	17349	4025
487	17387	3990
488	17423	3955
489	17453	3918
490	17483	3881
491	17530	3848
492	17567	3812
493	17608	3778
494	17642	3742
495	17692	3709
496	17757	3680
497	17802	3646
498	17857	3614
499	17921	3584
500	17961	3549
501	17998	3513
502	18041	3479
503	18076	3443
504	18116	3408
505	18181	3377
506	18270	3351
507	18331	3319
508	18502	3307
509	18570	3277
510	18631	3244
511	18690	3212
512	18754	3180
513	18807	3146
514	18870	3114
515	18913	3078
516	18958	3043
517	19002	3008
518	19035	2970
519	19074	2934
520	19107	2897
521	19139	2859
522	19173	2822
523	19201	2784
524	19237	2748
525	19276	2711
526	19317	2675
527	19359	2639
528	19410	2605
529	19451	2569
530	19482	2531
531	19515	2494
532	19542	2456
533	19562	2417
534	19591	2380
535	19623	2343
536	19656	2306
537	19694	2269
538	19730	2232
539	19837	2204
540	19913	2171
541	19984	2138
542	20019	2101
543	20050	2064
544	20088	2027
545	20118	1989
546	20154	1952
547	20196	1916
548	20237	1879
549	20299	1845
550	20349	1809
551	20398	1773
552	20442	1737
553	20476	1700
554	20513	1663
555	20547	1626
556	20579	1588
557	20613	1551
558	20643	1514
559	20673	1476
560	20706	1439
561	20741	1402
562	20787	1366
563	20825	1329
564	20863	1292
565	20924	1256
566	20988	1221
567	21184	1193
568	21297	1160
569	21375	1125
570	21449	1089
571	21489	1051
572	21530	1014
573	21581	977
574	21649	941
575	21681	903
576	21720	865
577	21795	829
578	21915	794
579	21943	756
580	21972	718
581	22003	680
582	22037	642
583	22068	604
584	22104	566
585	22140	528
586	22174	491
587	22209	453
588	22240	415
589	22295	377
590	22333	340
591	22368	302
592	22398	264
593	22455	226
594	22516	189
595	22569	151
596	22640	113
597	22692	75
598	22752	37
599	22792	0
